_id,telkinio_pav,m_vietos_pav,data,vandens_temp,suspend_medziagos,sarmingumas,deguon_istirpes,ph,elektr_laidis
ebdeb0fd-5d61-49f0-a4a5-76d8018fb56e,NERIS,Neris aukščiau Panerių,2019-02-04,0.8,12.0,3.7,13.54,7.94,456.0
979e9e2f-85be-4f55-be03-4f5ae93eb30d,NERIS,Neris ties Buivydžiais,2019-02-04,0.4,6.2,3.7,13.07,7.95,440.0
91f92144-084e-4061-a90d-a3808b51bf22,NERIS,Neris aukščiau Kauno,2019-02-05,0.4,15.0,4.5,13.4,8.3,492.0
8a3966a0-8045-4486-bde2-b37336d91a1c,NERIS,Neris aukščiau Panerių,2019-03-04,1.4,5.9,3.5,13.38,7.98,449.0
1ca634d3-b14a-4de4-acf6-ebc33fd3e39a,NERIS,Neris ties Buivydžiais,2019-03-04,1.5,9.4,3.6,12.92,8.22,447.0
9951d789-ac44-487e-95e9-0924265cf0b2,NERIS,Neris aukščiau Kauno,2019-03-05,3.0,17.0,4.0,13.3,8.5,480.0
52b2c51d-a913-480b-a698-70b9158bff02,NERIS,Neris aukščiau Panerių,2019-04-01,6.2,4.9,2.54,11.9,8.24,411.0
088a0a58-0c44-4f6e-8fe1-939c96e67762,NERIS,Neris ties Buivydžiais,2019-04-01,5.9,6.8,3.6,12.08,8.31,405.0
3090a465-9eca-476e-ac25-6a8afbc29bea,NERIS,Neris aukščiau Kauno,2019-04-02,6.4,12.0,4.0,12.3,8.4,445.0
58b2f7cb-ae52-4bcf-9fb9-ae647a09f11a,NERIS,Neris aukščiau Panerių,2019-05-06,11.0,15.0,3.3,13.34,8.35,403.0
aab53040-03ff-476d-a86e-0c2cb48fe3e8,NERIS,Neris ties Buivydžiais,2019-05-06,11.5,13.0,3.4,12.5,8.21,401.0
721d0411-071d-45fa-9607-c6b0bc2cb3ea,NERIS,Neris aukščiau Kauno,2019-05-07,12.8,21.0,4.2,12.9,8.5,455.0
68fded6f-1a0e-489f-b84f-ea20e3348337,NERIS,Neris ties Buivydžiais,2019-06-03,19.1,8.7,3.4,10.61,8.55,402.0
9a3939ab-a2b7-4617-9c0b-7d055488019d,NERIS,Neris aukščiau Panerių,2019-06-03,19.4,12.0,3.4,12.05,8.76,405.0
7b7efcc3-2f6f-4094-bef7-d169c30025ce,NERIS,Neris aukščiau Kauno,2019-06-07,19.2,27.0,3.3,12.6,8.8,387.0
7d79258c-b903-4efe-89c5-a2fcce3ac10a,NERIS,Neris ties Buivydžiais,2019-07-01,20.3,6.6,3.4,8.68,8.28,395.0
bb64ecb7-6d2f-4282-90f2-e2c971f4a940,NERIS,Neris aukščiau Panerių,2019-07-01,20.6,10.0,3.5,9.59,8.53,401.0
2a559369-a731-453c-b7b6-9a15efb06242,NERIS,Neris aukščiau Kauno,2019-07-02,20.4,5.5,3.1,9.2,8.6,388.0
afab275f-70a5-493f-9ca2-dcc5d1a0063a,NERIS,Neris aukščiau Panerių,2019-08-05,17.4,5.4,3.4,9.41,8.22,393.0
249190fe-9e19-408a-912c-010bb78b85e4,NERIS,Neris ties Buivydžiais,2019-08-05,17.2,5.1,3.3,8.71,8.28,379.0
66e30977-037f-4b23-9978-23b49abfdd09,NERIS,Neris aukščiau Kauno,2019-08-06,19.9,7.8,3.9,11.3,8.7,453.0
734fe7a9-e309-4f3c-b94b-c0497f10d536,NERIS,Neris aukščiau Panerių,2019-09-02,20.1,3.3,4.1,7.93,8.12,391.0
b9d26e0e-f2c5-47f6-8e32-bcdbd0d525b9,NERIS,Neris ties Buivydžiais,2019-09-02,19.9,4.3,3.5,8.2,8.19,368.0
d4d67a92-f122-4e1d-b5ca-717d78f78400,NERIS,Neris aukščiau Kauno,2019-09-03,19.4,3.0,4.1,8.3,8.5,459.0
aad9b03f-0b05-4283-af4f-20c1dd7fefab,NERIS,Neris ties Buivydžiais,2019-10-07,7.4,4.9,3.8,10.23,7.97,403.0
8c80c5f3-fd07-49ae-933d-e8b182a817a0,NERIS,Neris aukščiau Panerių,2019-10-07,7.8,7.8,3.8,11.43,7.76,410.0
2ad1c61a-3279-4542-b136-9d66b98d0d84,NERIS,Neris aukščiau Kauno,2019-10-08,8.0,7.8,4.0,7.5,8.3,460.0
d4545e30-4163-43c5-b44c-90d1a71f0dc6,NERIS,Neris ties Buivydžiais,2019-11-04,7.0,2.8,3.7,10.83,7.68,411.0
f1e44504-aafe-4934-8e29-9f27fd1250e9,NERIS,Neris aukščiau Panerių,2019-11-04,7.2,4.4,4.2,11.02,7.83,417.0
